Ticker,Nama Perusahaan,Sektor,EPS QnQ,ROA,ROE,NPM,PER,PBV,DER,PEG,BVPS,MP,Free Float,Dividend Yield,Source
MNCN,PT. Media Nusantara Citra Tbk,Communication Services,-11.90%,2.92%,5.94%,17.53%,2.17x,0.13x,5.69%,0.57x,1650.94,208.00,36.88%,N/A,google+yfinance
MTDL,PT Metrodata Electronics Tbk,Technology,3.40%,7.02%,18.73%,2.89%,8.03x,1.34x,33.35%,N/A,396.78,530.00,44.31%,4.53%,google+yfinance
MTEL,PT Dayamitra Telekomunikasi Tbk.,Communication Services,3.60%,4.39%,6.33%,22.35%,18.90x,1.27x,62.60%,N/A,402.81,510.00,14.24%,3.55%,google+yfinance
MYOR,PT Mayora Indah Tbk,Consumer Defensive,37.20%,8.78%,17.13%,8.17%,13.55x,2.21x,26.63%,1.91x,854.26,1890.00,14.79%,2.91%,google+yfinance
PGAS,PT Perusahaan Gas Negara (Persero) Tbk,Utilities,45.80%,5.30%,10.09%,6.19%,10.59x,N/A,29.05%,1.22x,0.12,1875.00,43.02%,9.71%,google+yfinance+stockbit
PGEO,PT Pertamina Geothermal Energy Tbk,Utilities,40.00%,4.34%,7.27%,33.55%,14.92x,N/A,35.81%,N/A,0.05,925.00,11.66%,5.35%,google+yfinance+stockbit
PTBA,PT Bukit Asam (Persero) Tbk,Energy,104.80%,5.27%,14.41%,7.84%,9.65x,1.37x,11.49%,0.38x,2043.81,2800.00,32.80%,11.87%,google+yfinance
PTPP,PT PP (Persero) Tbk,Industrials,-15.00%,-9.52%,-82.07%,-39.01%,N/A,0.41x,464.34%,0.51x,509.20,210.00,48.84%,N/A,google+yfinance+stockbit
PWON,PT Pakuwon Jati Tbk,Real Estate,29.30%,5.15%,11.02%,33.80%,5.85x,0.63x,20.98%,N/A,466.56,296.00,30.40%,4.39%,google+yfinance
SCMA,PT Surya Citra Media Tbk,Communication Services,100.20%,6.49%,11.40%,13.19%,15.80x,2.23x,23.40%,1.22x,102.91,230.00,6.57%,11.74%,google+yfinance
SIDO,PT Industri Jamu dan Farmasi Sido Muncul Tbk,Healthcare,-36.80%,23.06%,32.82%,29.09%,10.46x,3.65x,4.90%,100.79x,110.67,404.00,20.86%,9.16%,google+yfinance
SILO,PT Siloam International Hospitals Tbk,Healthcare,13.80%,7.64%,12.49%,8.76%,25.84x,2.97x,20.86%,3.12x,767.14,2280.00,9.73%,N/A,google+yfinance
SMGR,PT Semen Indonesia (Persero) Tbk,Basic Materials,88.70%,1.03%,0.44%,0.64%,51.81x,0.27x,21.14%,2.72x,6465.29,1760.00,48.66%,1.61%,google+yfinance
SMRA,PT Summarecon Agung Tbk,Real Estate,-20.30%,4.33%,7.93%,8.07%,6.72x,0.41x,87.74%,0.36x,705.97,292.00,58.16%,3.08%,google+yfinance
TAPG,PT Triputra Agro Persada Tbk,Consumer Defensive,-8.10%,14.94%,30.76%,32.26%,8.38x,2.70x,8.74%,0.66x,564.62,1525.00,16.94%,10.82%,google+yfinance
TINS,PT TIMAH Tbk,Basic Materials,1184.20%,16.03%,30.66%,18.08%,9.80x,2.66x,11.26%,N/A,1336.98,3550.00,29.19%,1.80%,google+yfinance
TKIM,PT Pabrik Kertas Tjiwi Kimia Tbk,Basic Materials,-17.20%,1.02%,8.91%,26.12%,3.79x,N/A,25.02%,N/A,0.95,5575.00,34.99%,45.00%,google+yfinance+stockbit
TLKM,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,-57.10%,7.64%,16.05%,12.14%,16.61x,2.12x,49.76%,19.82x,1384.40,2930.00,47.97%,7.25%,google+yfinance
TPIA,PT Chandra Asri Pacific Tbk,Basic Materials,N/A,-1.23%,42.37%,14.34%,4.75x,N/A,117.02%,N/A,0.04,1765.00,14.58%,34.00%,google+yfinance+stockbit
UNTR,PT United Tractors Tbk,Basic Materials,-79.80%,6.40%,12.31%,9.77%,7.26x,0.90x,25.75%,0.43x,27366.65,24575.00,38.35%,8.92%,google+yfinance
UNVR,PT Unilever Indonesia Tbk,Consumer Defensive,73.00%,15.60%,74.29%,26.56%,18.25x,15.02x,9.03%,2.46x,117.82,1770.00,14.63%,7.57%,google+yfinance
WIKA,PT Wijaya Karya (Persero) Tbk,Industrials,N/A,-6.09%,-181.33%,-78.54%,N/A,1.44x,64.22%,0.72x,141.88,204.00,7.32%,N/A,google+yfinance+stockbit
WSKT,PT Waskita Karya (Persero) Tbk,N/A,N/A,N/A,N/A,N/A,N/A,-15.96x,N/A,N/A,-12.66,202.00,N/A,N/A,google+yfinance+stockbit
WTON,PT Wijaya Karya Beton Tbk,Basic Materials,-5.60%,0.96%,0.11%,1.18%,18.12x,0.20x,11.30%,N/A,412.97,83.00,26.56%,55.00%,google+yfinance
