Ticker,Nama Perusahaan,Sektor,EPS QnQ,ROA,ROE,NPM,PER,PBV,DER,PEG,BVPS,MP,Free Float,Dividend Yield,Source
PTPP,PT PP (Persero) Tbk,Industrials,-15.00%,-9.52%,-82.07%,-39.01%,N/A,0.44x,464.34%,0.51x,519.15,226.00,48.84%,N/A,yfinance
PWON,PT Pakuwon Jati Tbk,Real Estate,29.30%,5.15%,11.02%,33.80%,5.34x,0.57x,20.98%,N/A,474.37,270.00,30.40%,4.81%,yfinance
SCMA,PT Surya Citra Media Tbk,Communication Services,100.20%,6.49%,11.40%,13.19%,14.15x,1.91x,23.40%,1.22x,107.77,206.00,6.57%,10.19%,yfinance
SIDO,PT Industri Jamu dan Farmasi Sido Muncul Tbk,Consumer Defensive,-36.80%,23.06%,32.82%,29.09%,9.83x,3.43x,4.90%,99.80x,110.67,380.00,20.86%,9.74%,yfinance
SILO,PT Siloam International Hospitals Tbk,Healthcare,13.80%,7.64%,12.49%,8.76%,24.69x,2.84x,20.86%,2.85x,768.24,2180.00,9.70%,N/A,yfinance
SMGR,PT Semen Indonesia (Persero) Tbk,Basic Materials,88.70%,1.03%,0.44%,0.64%,44.40x,0.23x,21.14%,2.45x,6465.29,1510.00,48.66%,1.88%,yfinance
SMRA,PT Summarecon Agung Tbk,Real Estate,-20.30%,4.33%,7.93%,8.07%,6.94x,0.42x,87.74%,0.36x,717.31,302.00,58.15%,1.66%,yfinance
TAPG,PT Triputra Agro Persada Tbk,Consumer Defensive,-8.10%,14.94%,30.76%,32.26%,8.65x,2.62x,8.74%,0.72x,601.87,1575.00,16.93%,11.43%,yfinance
TINS,PT TIMAH Tbk,Basic Materials,1184.20%,16.03%,30.66%,18.08%,9.86x,2.67x,11.26%,N/A,1336.98,3570.00,28.96%,2.47%,yfinance
TKIM,PT Pabrik Kertas Tjiwi Kimia Tbk,Basic Materials,-17.20%,1.02%,8.91%,26.12%,4.08x,N/A,25.02%,N/A,0.97,6100.00,34.99%,49.00%,yfinance
TLKM,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,-21.70%,7.38%,14.21%,11.28%,16.18x,1.96x,44.12%,19.17x,1360.33,2660.00,47.34%,8.39%,yfinance
TPIA,PT Chandra Asri Pacific Tbk,Basic Materials,N/A,-1.23%,42.37%,14.34%,5.14x,N/A,117.02%,N/A,0.04,1945.00,29.44%,31.00%,yfinance
UNTR,PT United Tractors Tbk,Basic Materials,-79.80%,6.40%,12.31%,9.77%,7.84x,0.99x,25.75%,0.43x,26877.39,26550.00,38.35%,8.26%,yfinance
UNVR,PT Unilever Indonesia Tbk,Consumer Defensive,73.00%,15.60%,74.29%,26.56%,17.51x,9.84x,9.03%,2.02x,172.72,1700.00,14.63%,13.41%,yfinance
WIKA,PT Wijaya Karya (Persero) Tbk,Industrials,N/A,-6.09%,-181.33%,-78.54%,N/A,-4.02x,6422.03%,0.72x,-50.71,204.00,7.32%,N/A,stale
WSKT,PT Waskita Karya (Persero) Tbk,N/A,N/A,N/A,N/A,N/A,N/A,-15.96x,N/A,N/A,-12.66,202.00,N/A,N/A,stale
WTON,PT Wijaya Karya Beton Tbk,Basic Materials,-5.60%,0.96%,0.11%,1.18%,16.16x,0.18x,11.30%,N/A,416.42,74.00,26.54%,62.00%,yfinance
